State,Campaigns,Country,Status,Type,Targeting,Retailer,Portfolio,Campaign bidding strategy,Start date,End date,Avg. time in budget,Budget (converted),Budget,Cost type,Impressions,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Spend (converted),Spend,CPC (converted),CPC,Detail page views,Orders,Sales (converted),Sales,ACOS,ROAS,NTB orders,% of orders NTB,NTB sales (converted),NTB sales,% of sales NTB,Long-term sales (converted),Long-term sales,Long-term ROAS,Cumulative reach,Household reach,Viewable impressions,CPM (converted),CPM,VCPM (converted),VCPM,Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR
ENABLED,SP | MG8702 | Category Target Test,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),08/04/2025,,97.78220407907908,$65.00,$65.00,CPC,450943,<5%,0,2917,0.0065,"$2,622.43","$2,622.43",$0.90,$0.90,0,94,"$21,405.46","$21,405.46",0.1225,8.16245238195109,0,0,$0.00,$0.00,0,$0.00,"$21,504.14",0,,,0,$5.82,$5.82,$0.00,$0.00,0,0,0,0,0,0,0.0065
ENABLED,SP | MG8702  | Auto | B2B,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),07/22/2025,,100,$40.00,$40.00,CPC,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0
PAUSED,SP | B12 | Category Target | B2B.,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),07/22/2025,,100,$30.00,$30.00,CPC,15119,<5%,0,31,0.0021,$58.19,$58.19,$1.88,$1.88,0,2,$539.97,$539.97,0.1078,9.279429455232862,0,0,$0.00,$0.00,0,$0.00,$539.55,0,,,0,$3.85,$3.85,$0.00,$0.00,0,0,0,0,0,0,0.0021
ENABLED,SP | MG8702 | Category Target | B2B,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),07/22/2025,,100,$50.00,$50.00,CPC,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0
PAUSED,SP | MG8702 | Auto | B2B,United States,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),07/22/2025,,,$65.00,$65.00,CPC,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0
PAUSED,SP | B12 | Category Target | B2B,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),07/22/2025,,,$30.00,$30.00,CPC,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0
PAUSED,SP | B12 | Auto | B2B,United States,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),07/22/2025,,100,$30.00,$30.00,CPC,12748,<5%,0,18,0.0014,$26.46,$26.46,$1.47,$1.47,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,,0,$2.08,$2.08,$0.00,$0.00,0,0,0,0,0,0,0.0014
ENABLED,SP | MG8702 | Category Target,United States,CAMPAIGN_OUT_OF_BUDGET,SP,MANUAL,Amazon,,Dynamic bidding (up and down),07/08/2025,,69.91448936560323,$85.00,$85.00,CPC,710356,<5%,0,4124,0.0058,"$9,011.05","$9,011.05",$2.19,$2.19,0,131,"$31,881.04","$31,881.04",0.2826,3.5379939074802595,0,0,$0.00,$0.00,0,$0.00,"$32,832.35",0,,,0,$12.69,$12.69,$0.00,$0.00,0,0,0,0,0,0,0.0058
ENABLED,SP | MB 8702 | Auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (down only),07/08/2025,,98.52655161349469,$65.00,$65.00,CPC,743646,<5%,0,3691,0.0050,"$2,459.31","$2,459.31",$0.67,$0.67,0,79,"$17,210.71","$17,210.71",0.1429,6.998186483200573,0,0,$0.00,$0.00,0,$0.00,"$17,460.77",0,,,0,$3.31,$3.31,$0.00,$0.00,0,0,0,0,0,0,0.0050
ENABLED,SP | MT7711 | Auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),05/27/2025,,90.41304066304066,$65.00,$65.00,CPC,1469420,<5%,0,5610,0.0038,"$5,294.90","$5,294.90",$0.94,$0.94,0,293,"$47,683.50","$47,683.50",0.1110,9.005552512795328,0,0,$0.00,$0.00,0,$0.00,"$48,442.01",0,,,0,$3.60,$3.60,$0.00,$0.00,0,0,0,0,0,0,0.0038
